2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:54 | DEBUG    | database             | [DB] Sessão devolvida ao pool
